description,target
Krishi Kalyan Cess-Receivable-InputServ,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Service Tax ? Interim a/c - GTA,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Krishi Kalyan Cess - Interim A/c - GTA,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Integrated GST Receviable,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Current-Balance with Statutoty/Government Authority-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Sales Tax/Vat Deposit,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Union Teritory GST Inerim Receviable,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Union Teritory GST Receviable,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Retention- Post closure-Financial Asset,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Provision for Retention Money,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Retention-Contract Asset-Current,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Contract Assets Current,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Unbilled-Contract assets,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Provision for Un-Billed Revenue,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
WIP Unbilled-Revenue,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Current-Financial Guarntee Premium-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Prepaid Expenses FG premium-C-Adjustmen,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Prepaid Rent,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Prepaid Insurance,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Prepaid Others,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Prepaid BG Commission,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Prepaid CFO/CTO,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Current-Prepayments-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Prepaid AMC,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Current-Advances to supplier and service provider-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Current-Advances to supplier and service provider-Doubtful,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Current-Provision for advances to supplier and service provider-Doubtful,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Advances to Contractors / Subcontractor,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Advances to  Material & Other Vendors,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Advances to  Material & Other Vendors-Adjustm,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Machinery Advance to Vendors,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Machinery Advance to Vendors-Adjustmnet,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Material Advance to Vendors,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Material Advance to Vendors-Adjustmnet,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Advances to Labour Contractors,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Advances to Contractors/Subcontractors-,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Mobilisation Advance To Vendors,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Provision for Doubtful Advances - Supll,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Current-Other advances-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Vehicle Loan,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Travel Advance,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Insurance Claims Receivable,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Reimbursement Exp/Assets,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Transaction Costs,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Festival Advances,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Current-Advance to employees-Good,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Staff Advances - Expenses,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Salary Advances to Staff,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Provision for Staff Advances-Adjustmnet,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
CGST Receivable ISD,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
SGST Receivable ISD,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Adv to supplier/service providers-Outside REEL Grp,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_ST_OthAsset-->BS_ST_FinAssets-->BS_ST_OtherAssets-->
Cash in Hand-Consultancy Hyderabad,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand - REEL SBG HO,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Current-Cash on hand,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash on Hand,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand-IWM MWML,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand-IWM TNWML,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand-BMW TNWML,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand-IWM WBWML,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand-BMW WBWML,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand-MSW WBWML,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand - RRL PROJECT,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand - HiMSW P&D,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand - DMWSL - C&T,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand-CMSW,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash on Hand - Ramky Finance & Investme,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand - DMWSL - P&D,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand-DMSW WTE,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand-CUDDOLORE,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand - SITE TNWML,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand - Saagar MSW Solutions Pvt,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand - Katni MSWM Pvt.Ltd.,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand - CMSW NOIDA-Mechncl Sweep,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand-Aditya Pur-IWM,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand-Aditya Pur-CETP,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand-TNWML-IWM-Madurai,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand-Dehradun,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand-DRPL -Vizag,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand-DRPL -Hyd,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand-Rewa-MSW Sol.,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand-MWML-Cwmp2,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand-Vilholi Waste Mgt.Sys.Pvt.,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand-Rewa-MSW W2E,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand-Hyd-MSW Energy Sol.Pvt.Ltd,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash In Hand RESPL,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand-DSCPL,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash and Bank Clearing Account,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand - HO,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand - HWMP,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand-CWMP,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand - KWMP,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand-PWMP,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand - OWMP,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand - UPWMP,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand - RWMP,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand-MPWMP,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand - BWMP,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand-Shimoga,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand - Belgaum,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand-New town Kolkota,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand - Koyambedu,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand-E waste,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand - Reel Bhubaneswar,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Cash in Hand-REEL-ICW-VISAKHAPATNAM,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Term Deposit - Bank Gaurantee -NC-Adjus,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Term Deposit - Fixed Deposits-Re-class of dep,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_CashOnHand-->
Term Deposit - Bank Gaurantee-C-Adjustm,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Current-Deposit with original maturity of more than 3 months but less than 12 months,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Current-Deposit with original maturity of less than 3 months,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Term Deposit-Less than 3months maturity,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Term Deposit-Fixed Deposits-C-Adjustmen,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LTD - 008010200061205 - Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LTD - 043010200022710 - Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LTD - 559010200004572 - Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LTD - 910020007010682 - Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LTD - 910020019704339 - Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LTD-910020034523209-Deposit,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LTD-911020012438454-Deposit,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LTD - 911020012896290 - Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LTD-911020027711304-Deposit,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LTD - 911020027711304 - Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LTD-911020058628017-Deposit,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LTD - 911020058628017 - Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LIMITED 914020005042748 Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK 912020025767119 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank Ltd 912020017520937 - One,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
ICICI BANK - 3253050000313 - Depoist,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
State Bank of India -31473716967- Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Punjab & Sind Bank -03011100037936-Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
INGVYSYA-700011036443-Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
YES Bank 000681300001253 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
YES Bank 000681300002334 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Canara Bank - 2799201000255 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LIMITED 914020005042748 Depos,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
ICICI BANK - 320405000299�- Deposit,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Current- Balance with bank-On current account,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Andhra Bank  - 84813100000168 - Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank 913060044826115 Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
ICICI BANK LTD 000851000233 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Term Deposit - Bank Gaurantee,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Term Deposit - Other,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
ANDHRA BANK  - 84811100000636 - Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
ANDHRA BANK  - 84811100000645 - Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
ANDHRA BANK  - 84811100000654 - Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Andhra Bank - 008411100001608 - Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Andhra Bank -008411100001060- Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Andhra Bank-050611100001893-Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Andhra Bank-050611100001866-Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Andhra Bank 008411100001592 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Andhra Bank 034911100002704 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Andhra Bank -34911100002810 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Andhra Bank- 34911100002810-Deposit,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Andhra Bank '078411100003262 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank - 910020038611304 - Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank - 910020038611304 - Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank - 910020038791730 - Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
Axis Bank - 910020038791730 - Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LTD - 16010200016986 - Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LTD - 16010200016986 - Deposi,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LTD - 16010200016986 - Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LTD - 16010200024426 - Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LTD - 16010200024435 - Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LTD - 261010200003278 - Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LTD - 261010200003278 - Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LTD - 261010200009201 - Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LTD - 261010200009218 - Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LTD - 36010200004633 Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LTD - 36010200004633 - Pay,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
AXIS BANK LTD - 36010200004640 - Main,BS_GROUP-->BS_NetAssets-->BS_Assets-->BS_CurrAssets-->BS_Cash-->BS_ST_OthDep-->
